Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Tm5
51,C3,FALSE,8243,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.278721305,,,24.91977386,0.993274473,24.91977386,,TRUE,0.076008898,TRUE,3,21,92.3705368,,,,
52,C4,FALSE,9153,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.271329407,,,24.15575421,0.989264801,24.15575421,,TRUE,0.076008898,TRUE,3,19,92.3705368,,,,
53,C5,FALSE,9161,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.28159629,,,24.52516552,0.990265363,24.52516552,,TRUE,0.076008898,TRUE,3,20,92.4145813,,,,
54,C6,FALSE,9269,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.280943386,,,23.59705034,0.970756474,23.59705034,,TRUE,0.076008898,TRUE,3,20,92.4145813,,,,
55,C7,FALSE,9377,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.2781746,,,22.06278186,0.990071103,22.06278186,,TRUE,0.076008898,TRUE,3,17,92.4145813,,,,
56,C8,FALSE,9385,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.280961186,,,24.9763431,0.992193902,24.9763431,,TRUE,0.076008898,TRUE,3,21,92.4145813,,,,
57,C9,FALSE,9393,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.281172907,,,23.78634285,0.990143175,23.78634285,,TRUE,0.076008898,TRUE,3,20,92.42276764,,,,
58,C10,FALSE,9401,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.152751495,,,20.77512325,0.927113698,20.77512325,,TRUE,0.076008898,TRUE,3,17,92.31018829,,,,
59,C11,FALSE,9409,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.285341059,,,25.19700805,0.986991791,25.19700805,,TRUE,0.076008898,TRUE,3,21,92.42276764,,,,
60,C12,FALSE,10125,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.285282069,,,25.10701096,0.992721206,25.10701096,,TRUE,0.076008898,TRUE,3,21,92.31018829,,,,
61,C13,FALSE,9417,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.264933857,,,25.6809356,0.989260935,25.6809356,,TRUE,0.076008898,TRUE,3,22,92.44030762,,,,
97,E1,FALSE,6225,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.282279586,,,23.50937127,0.983956124,23.50937127,,TRUE,0.076008898,TRUE,3,20,92.48293304,,,,
98,E2,FALSE,8134,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.29037241,,,23.65825675,0.987748194,23.65825675,,TRUE,0.076008898,TRUE,3,20,92.3705368,,,,
99,E3,FALSE,8244,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.27520846,,,23.00302339,0.989185577,23.00302339,,TRUE,0.076008898,TRUE,3,19,92.48293304,,,,
100,E4,FALSE,9154,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.285100923,,,24.98540884,0.99112436,24.98540884,,TRUE,0.076008898,TRUE,3,21,92.48293304,,,,
101,E5,FALSE,9262,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.257141254,,,21.26798206,0.98865498,21.26798206,,TRUE,0.076008898,TRUE,3,17,92.52713013,,,,
102,E6,FALSE,9270,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.278588588,,,25.15973061,0.991477431,25.15973061,,TRUE,0.076008898,TRUE,3,21,92.52713013,,,,
103,E7,FALSE,9378,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.282718343,,,23.78107588,0.993816711,23.78107588,,TRUE,0.076008898,TRUE,3,20,92.52713013,,,,
104,E8,FALSE,9386,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276588709,,,23.80014502,0.990134331,23.80014502,,TRUE,0.076008898,TRUE,3,19,92.52713013,,,,
105,E9,FALSE,9394,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.279154527,,,24.24879492,0.986147615,24.24879492,,TRUE,0.076008898,TRUE,3,20,92.53533936,,,,
106,E10,FALSE,9402,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277125427,,,23.94763378,0.988147113,23.94763378,,TRUE,0.076008898,TRUE,3,20,92.53533936,,,,
107,E11,FALSE,9410,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.280957699,,,25.48337554,0.987119405,25.48337554,,TRUE,0.076008898,TRUE,3,21,92.53533936,,,,
108,E12,FALSE,10126,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287598442,,,23.95561616,0.991894591,23.95561616,,TRUE,0.076008898,TRUE,3,20,92.42276764,,,,
109,E13,FALSE,9418,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.27788348,,,25.00360438,0.983331802,25.00360438,,TRUE,0.076008898,TRUE,3,21,92.552948,,,,
145,G1,FALSE,7126,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.283785991,,,24.89434138,0.986167235,24.89434138,,TRUE,0.076008898,TRUE,3,21,92.48293304,,,,
146,G2,FALSE,8135,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.292985019,,,24.21496998,0.989544092,24.21496998,,TRUE,0.076008898,TRUE,3,20,92.48293304,,,,
147,G3,FALSE,8247,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.274066666,,,24.35148056,0.987777723,24.35148056,,TRUE,0.076008898,TRUE,3,19,92.59533691,,,,
148,G4,FALSE,9155,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.279346707,,,24.79316031,0.988513117,24.79316031,,TRUE,0.076008898,TRUE,3,21,92.59533691,,,,
149,G5,FALSE,9263,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.283857943,,,23.3752572,0.991838297,23.3752572,,TRUE,0.076008898,TRUE,3,19,92.63967896,,,,
150,G6,FALSE,9271,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.26815233,,,25.51355551,0.991695609,25.51355551,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
151,G7,FALSE,9379,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.283610279,,,25.88443175,0.988840105,25.88443175,,TRUE,0.076008898,TRUE,3,22,92.52713013,,,,
152,G8,FALSE,9387,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276247283,,,24.87343021,0.993442861,24.87343021,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
153,G9,FALSE,9395,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.262363094,,,22.10568538,0.985583648,22.10568538,,TRUE,0.076008898,TRUE,3,18,92.6479187,,,,
154,G10,FALSE,9403,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276871081,,,24.87797952,0.990685313,24.87797952,,TRUE,0.076008898,TRUE,3,21,92.6479187,,,,
155,G11,FALSE,9411,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.256566615,,,22.36039675,0.978374463,22.36039675,,TRUE,0.076008898,TRUE,3,18,92.6479187,,,,
156,G12,FALSE,10127,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287605378,,,24.05085532,0.990532518,24.05085532,,TRUE,0.076008898,TRUE,3,20,92.42276764,,,,
157,G13,FALSE,9419,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.279417134,,,24.85837755,0.992842287,24.85837755,,TRUE,0.076008898,TRUE,3,21,92.66558838,,,,
193,I1,FALSE,7127,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.291977295,,,24.78715584,0.987652956,24.78715584,,TRUE,0.076008898,TRUE,3,20,92.59533691,,,,
194,I2,FALSE,8136,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.255529984,,,24.74202959,0.988949176,24.74202959,,TRUE,0.076008898,TRUE,3,21,92.48293304,,,,
195,I3,FALSE,8248,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.197610836,,,23.56102963,0.942249631,23.56102963,,TRUE,0.076008898,TRUE,3,18,92.70773315,,,,
196,I4,FALSE,9156,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.27934921,,,25.20261889,0.985010093,25.20261889,,TRUE,0.076008898,TRUE,3,19,92.70773315,81.13069916,,,
197,I5,FALSE,9264,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.286448111,,,25.01551824,0.990471625,25.01551824,,TRUE,0.076008898,TRUE,3,20,92.63967896,,,,
198,I6,FALSE,9272,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277034044,,,22.51634199,0.99102242,22.51634199,,TRUE,0.076008898,TRUE,3,19,92.63967896,,,,
199,I7,FALSE,9380,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.270251416,,,22.62174227,0.988343375,22.62174227,,TRUE,0.076008898,TRUE,3,18,92.63967896,,,,
200,I8,FALSE,9388,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.252578493,,,22.1671205,0.985549802,22.1671205,,TRUE,0.076008898,TRUE,3,18,92.75222778,,,,
201,I9,FALSE,9396,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.268592982,,,24.83372369,0.990370932,24.83372369,,TRUE,0.076008898,TRUE,3,20,92.6479187,,,,
202,I10,FALSE,9404,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.278662498,,,24.78008216,0.992819153,24.78008216,,TRUE,0.076008898,TRUE,3,20,92.6479187,,,,
203,I11,FALSE,9412,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.272719643,,,25.23902276,0.986777823,25.23902276,,TRUE,0.076008898,TRUE,3,21,92.6479187,,,,
204,I12,FALSE,10128,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287734607,,,24.64812284,0.9838914,24.64812284,,TRUE,0.076008898,TRUE,3,21,92.6479187,,,,
205,I13,FALSE,10120,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.256984519,,,23.19882246,0.987610759,23.19882246,,TRUE,0.076008898,TRUE,3,19,92.77822876,,,,
241,K1,FALSE,7128,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.285506618,,,24.21542101,0.984067424,24.21542101,,TRUE,0.076008898,TRUE,3,20,92.59533691,,,,
242,K2,FALSE,8137,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.297766708,,,24.26226604,0.989353156,24.26226604,,TRUE,0.076008898,TRUE,3,20,92.59533691,,,,
243,K3,FALSE,8249,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.251805416,,,25.95542918,0.985239044,25.95542918,,TRUE,0.076008898,TRUE,3,22,92.59533691,,,,
244,K4,FALSE,9157,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.290898297,,,25.37843345,0.989811793,25.37843345,,TRUE,0.076008898,TRUE,3,22,92.70773315,,,,
245,K5,FALSE,9265,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.279084919,,,24.51323662,0.987860412,24.51323662,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
246,K6,FALSE,9273,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.221658873,,,25.3924836,0.882737009,25.3924836,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
247,K7,FALSE,9381,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277492632,,,25.19575218,0.950303991,25.19575218,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
248,K8,FALSE,9389,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.271077638,,,21.80833949,0.990295949,21.80833949,,TRUE,0.076008898,TRUE,3,18,92.75222778,,,,
249,K9,FALSE,9397,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.266099653,,,24.98689986,0.982178403,24.98689986,,TRUE,0.076008898,TRUE,3,21,92.76049805,,,,
250,K10,FALSE,9405,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.270315871,,,24.77840877,0.989979653,24.77840877,,TRUE,0.076008898,TRUE,3,20,92.76049805,,,,
251,K11,FALSE,9413,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.263664583,,,25.29062771,0.987240838,25.29062771,,TRUE,0.076008898,TRUE,3,21,92.76049805,,,,
252,K12,FALSE,10129,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.288744508,,,24.13092871,0.991084286,24.13092871,,TRUE,0.076008898,TRUE,3,20,92.6479187,,,,
253,K13,FALSE,10121,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.278419337,,,25.85202633,0.990842617,25.85202633,,TRUE,0.076008898,TRUE,3,22,92.66558838,,,,
289,M1,FALSE,7230,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.286378821,,,25.35386811,0.98727936,25.35386811,,TRUE,0.076008898,TRUE,3,20,92.59533691,,,,
290,M2,FALSE,8138,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.293939166,,,23.91687902,0.993443539,23.91687902,,TRUE,0.076008898,TRUE,3,19,92.59533691,,,,
291,M3,FALSE,9150,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.288873644,,,24.32112895,0.991687548,24.32112895,,TRUE,0.076008898,TRUE,3,20,92.70773315,,,,
292,M4,FALSE,9158,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.28863604,,,25.37589835,0.99040918,25.37589835,,TRUE,0.076008898,TRUE,3,21,92.70773315,,,,
293,M5,FALSE,9266,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.267466922,,,24.79496488,0.986947255,24.79496488,,TRUE,0.076008898,TRUE,3,20,92.63967896,,,,
294,M6,FALSE,9374,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.084161562,,,23.21307398,0.960158987,23.21307398,,TRUE,0.076008898,TRUE,3,18,92.63967896,,,,
295,M7,FALSE,9382,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.269816351,,,22.8070894,0.994033846,22.8070894,,TRUE,0.076008898,TRUE,3,18,92.63967896,,,,
296,M8,FALSE,9390,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.252926183,,,23.99785078,0.993719324,23.99785078,,TRUE,0.076008898,TRUE,3,20,92.63967896,,,,
297,M9,FALSE,9498,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.276094463,,,24.35884155,0.986842598,24.35884155,,TRUE,0.076008898,TRUE,3,20,92.76049805,,,,
298,M10,FALSE,9406,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277039528,,,24.87902159,0.988199693,24.87902159,,TRUE,0.076008898,TRUE,3,21,92.76049805,,,,
299,M11,FALSE,9414,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.279448506,,,24.82746834,0.988768876,24.82746834,,TRUE,0.076008898,TRUE,3,20,92.76049805,,,,
300,M12,FALSE,10130,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287420811,,,23.30456835,0.98941373,23.30456835,,TRUE,0.076008898,TRUE,3,19,92.53533936,,,,
301,M13,FALSE,10122,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.2743858,,,25.83920858,0.980729329,25.83920858,,TRUE,0.076008898,TRUE,3,22,92.66558838,,,,
337,O1,FALSE,7231,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.294219067,,,23.58897917,0.976063846,23.58897917,,TRUE,0.076008898,TRUE,3,19,92.59533691,,,,
338,O2,FALSE,8140,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.280603217,,,21.67790396,0.981882235,21.67790396,,TRUE,0.076008898,TRUE,3,18,92.59533691,,,,
339,O3,FALSE,9151,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287834638,,,24.16879708,0.983634323,24.16879708,,TRUE,0.076008898,TRUE,3,20,92.59533691,,,,
340,O4,FALSE,9159,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.267210462,,,25.962153,0.987295306,25.962153,,TRUE,0.076008898,TRUE,3,21,92.59533691,,,,
341,O5,FALSE,9267,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.267620669,,,21.87101457,0.991481655,21.87101457,,TRUE,0.076008898,TRUE,3,17,92.63967896,,,,
342,O6,FALSE,9375,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.28423592,,,24.85209755,0.989556989,24.85209755,,TRUE,0.076008898,TRUE,3,20,92.63967896,,,,
343,O7,FALSE,9383,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.286564785,,,25.23900459,0.990359863,25.23900459,,TRUE,0.076008898,TRUE,3,21,92.63967896,,,,
344,O8,FALSE,9391,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.287601841,,,24.17225723,0.991260782,24.17225723,,TRUE,0.076008898,TRUE,3,20,92.63967896,,,,
345,O9,FALSE,9499,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.283782172,,,24.60396685,0.99241584,24.60396685,,TRUE,0.076008898,TRUE,3,20,92.6479187,,,,
346,O10,FALSE,9407,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.277596276,,,25.38473688,0.990168926,25.38473688,,TRUE,0.076008898,TRUE,3,21,92.6479187,,,,
347,O11,FALSE,9415,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.28779596,,,24.66075383,0.990990307,24.66075383,,TRUE,0.076008898,TRUE,3,21,92.6479187,,,,
348,O12,FALSE,10131,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.2905137,,,23.70246357,0.986618697,23.70246357,,TRUE,0.076008898,TRUE,3,19,92.42276764,,,,
349,O13,FALSE,10123,Alb88_Dlp74,UNKNOWN,SYBR,None,AMP,1.283338621,,,24.14228384,0.9913347,24.14228384,,TRUE,0.076008898,TRUE,3,20,92.66558838,,,,
